,PLAYER_ID,DateRecovered,DateInjured,TEAM_ID,Team,Player,InjuryNotes,RecoverNotes,InjuryLengthDays,NumberInjuries
0,255,2011-01-14,2011-01-11,1610612756,Suns,Grant Hill,placed on IL with sore/sprained right knee,activated from IL,3 days,20
1,255,2013-01-12,2012-01-13,1610612756,Suns,Grant Hill,strained right quadriceps (DNP),activated from IL,365 days,20
2,255,2013-04-27,2013-04-25,1610612746,Clippers,Grant Hill,placed on IL,activated from IL,2 days,20
3,406,2010-11-11,2010-11-02,1610612738,Celtics,Shaquille O'Neal,placed on IL with bruised right knee,activated from IL,9 days,17
4,406,2011-04-03,2010-12-09,1610612738,Celtics,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP),activated from IL,115 days,17
5,406,2011-05-07,2011-04-05,1610612738,Celtics,Shaquille O'Neal,placed on IL with strained right calf muscle,activated from IL,32 days,17
6,436,2010-11-02,2010-10-29,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,4 days,6
7,436,2010-11-13,2010-11-06,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,7 days,6
8,436,2013-03-24,2010-11-19,1610612748,Heat,Juwan Howard,broken nose (DNP),activated from IL,856 days,6
9,436,2013-03-29,2013-03-27,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,2 days,6
10,436,2013-06-01,2013-04-21,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,41 days,6
11,467,2011-04-10,2011-04-06,1610612742,Mavericks,Jason Kidd,rest (DNP),activated from IL,4 days,15
12,467,2012-01-14,2012-01-07,1610612742,Mavericks,Jason Kidd,strained lower back (DNP),activated from IL,7 days,15
13,467,2012-02-10,2012-01-29,1610612742,Mavericks,Jason Kidd,placed on IL with strained right calf,activated from IL,12 days,15
14,467,2012-04-10,2012-03-10,1610612742,Mavericks,Jason Kidd,rest (DNP),activated from IL,31 days,15
15,467,2012-04-15,2012-04-13,1610612742,Mavericks,Jason Kidd,placed on IL for rest,activated from IL,2 days,15
16,467,2016-01-25,2012-04-21,1610612742,Mavericks,Jason Kidd,placed on IL for rest,returned as head coach,1374 days,15
17,686,2011-04-13,2011-03-28,1610612759,Spurs,Antonio McDyess,bruised lower back (DNP),activated from IL,16 days,2
18,689,2010-11-14,2010-11-11,1610612747,Lakers,Theo Ratliff,placed on IL with left knee tendinitis,activated from IL,3 days,3
19,689,2011-03-31,2010-11-16,1610612747,Lakers,Theo Ratliff,placed on IL recovering from arthroscopic surgery on left knee to remove part of torn meniscus,activated from IL,135 days,3
20,703,2010-12-04,2010-12-03,1610612741,Bulls,Kurt Thomas,placed on IL,activated from IL,1 days,5
21,703,2010-12-08,2010-12-06,1610612741,Bulls,Kurt Thomas,placed on IL,activated from IL,2 days,5
22,703,2010-12-18,2010-12-11,1610612741,Bulls,Kurt Thomas,placed on IL,activated from IL,7 days,5
23,708,2011-01-14,2010-12-31,1610612738,Celtics,Kevin Garnett,placed on IL with strained right calf,activated from IL,14 days,52
24,708,2013-04-07,2011-01-14,1610612738,Celtics,Kevin Garnett,strained right leg (DNP),activated from IL,814 days,52
25,708,2013-11-18,2013-04-12,1610612738,Celtics,Kevin Garnett,sore left ankle (DNP),activated from IL,220 days,52
26,708,2014-01-06,2013-11-29,1610612751,Nets,Kevin Garnett,rest (DNP),activated from IL,38 days,52
27,708,2014-04-05,2014-01-11,1610612751,Nets,Kevin Garnett,rest (DNP),activated from IL,84 days,52
28,708,2014-04-09,2014-04-08,1610612751,Nets,Kevin Garnett,placed on IL with back injury,activated from IL,1 days,52
29,708,2014-11-26,2014-04-16,1610612751,Nets,Kevin Garnett,rest (DNP),activated from IL,224 days,52
30,708,2014-12-05,2014-12-03,1610612751,Nets,Kevin Garnett,placed on IL,activated from IL,2 days,52
31,708,2014-12-16,2014-12-13,1610612751,Nets,Kevin Garnett,rest (DTD),returned to lineup,3 days,52
32,708,2015-01-02,2014-12-30,1610612751,Nets,Kevin Garnett,placed on IL,activated from IL,3 days,52
33,708,2015-01-07,2015-01-05,1610612751,Nets,Kevin Garnett,rest (DTD),returned to lineup,2 days,52
34,708,2015-01-10,2015-01-09,1610612751,Nets,Kevin Garnett,rest (DTD),returned to lineup,1 days,52
35,708,2015-01-24,2015-01-22,1610612751,Nets,Kevin Garnett,rest (DTD),returned to lineup,2 days,52
36,708,2015-02-09,2015-02-07,1610612751,Nets,Kevin Garnett,rest (DTD),returned to lineup,2 days,52
37,708,2015-02-25,2015-02-20,1610612750,Timberwolves,Kevin Garnett,placed on IL,activated from IL,5 days,52
38,708,2015-11-12,2015-03-13,1610612750,Timberwolves,Kevin Garnett,sore left knee (out for season),activated from IL,244 days,52
39,708,2015-11-20,2015-11-18,1610612750,Timberwolves,Kevin Garnett,placed on IL,activated from IL,2 days,52
40,708,2016-01-02,2015-12-21,1610612750,Timberwolves,Kevin Garnett,rest (DTD),activated from IL,12 days,52
41,708,2016-01-15,2016-01-13,1610612750,Timberwolves,Kevin Garnett,placed on IL,activated from IL,2 days,52
42,708,2016-01-23,2016-01-20,1610612750,Timberwolves,Kevin Garnett,placed on IL for rest,activated from IL,3 days,52
43,711,2010-10-27,2010-10-26,1610612748,Heat,Jerry Stackhouse,placed on IL,activated from IL,1 days,11
44,711,2012-11-05,2012-05-06,1610612737,Hawks,Jerry Stackhouse,placed on IL (out for season),activated from IL,183 days,11
45,711,2012-11-23,2012-11-21,1610612751,Nets,Jerry Stackhouse,placed on IL for rest,activated from IL,2 days,11
46,711,2012-12-23,2012-12-12,1610612751,Nets,Jerry Stackhouse,placed on IL with sore right knee,activated from IL,11 days,11
47,711,2013-01-04,2013-01-02,1610612751,Nets,Jerry Stackhouse,placed on IL with hamstring injury,activated from IL,2 days,11
48,711,2013-04-17,2013-02-05,1610612751,Nets,Jerry Stackhouse,stiff neck (DNP),activated from IL,71 days,11
49,739,2013-04-15,2012-11-23,1610612752,Knicks,Rasheed Wallace,sore left foot (DNP),activated from IL,143 days,20
50,948,2012-03-18,2012-03-17,1610612745,Rockets,Marcus Camby,placed on IL,activated from IL,1 days,23
51,948,2012-11-09,2012-04-16,1610612745,Rockets,Marcus Camby,sore lower back (DNP),returned to lineup,207 days,23
52,948,2013-03-03,2012-12-02,1610612752,Knicks,Marcus Camby,sore left foot (DTD),activated from IL,91 days,23
53,948,2013-05-01,2013-04-05,1610612752,Knicks,Marcus Camby,plantar fasciitis in left foot (DNP),activated from IL,26 days,23
54,951,2012-01-06,2011-04-11,1610612738,Celtics,Ray Allen,rest (DNP),activated from IL,270 days,21
55,951,2012-03-04,2012-01-23,1610612738,Celtics,Ray Allen,sprained left ankle (DNP),activated from IL,41 days,21
56,951,2012-03-25,2012-03-23,1610612738,Celtics,Ray Allen,placed on IL with sore left (P) / right (CBC) ankle,activated from IL,2 days,21
57,951,2012-05-04,2012-03-25,1610612738,Celtics,Ray Allen,sore right ankle (DNP),activated from IL,40 days,21
58,951,2012-12-28,2012-06-14,1610612738,Celtics,Ray Allen,arthroscopic surgery on right ankle to remove bone spurs (out indefinitely),activated from IL,197 days,21
59,951,2013-11-19,2013-02-08,1610612748,Heat,Ray Allen,illness/flu (DNP),activated from IL,284 days,21
60,951,2014-04-02,2013-12-27,1610612748,Heat,Ray Allen,right knee tendinitis (DNP),activated from IL,96 days,21
61,956,2011-05-31,2011-04-10,1610612748,Heat,Erick Dampier,placed on IL with knee injury / rest,activated from IL,51 days,2
62,956,2012-04-26,2012-04-18,1610612737,Hawks,Erick Dampier,calf injury (DTD),returned to lineup,8 days,2
63,959,2012-12-22,2010-11-20,1610612756,Suns,Steve Nash,strained groin (DNP),activated from IL,763 days,47
64,959,2014-02-04,2013-04-02,1610612747,Lakers,Steve Nash,strained right hamstring (DNP),activated from IL,308 days,47
65,959,2014-03-21,2014-02-05,1610612747,Lakers,Steve Nash,rest (DNP),activated from IL,44 days,47
66,959,2015-04-01,2014-03-23,1610612747,Lakers,Steve Nash,nerve root irritation (DNP),returned to lineup,374 days,47
67,965,2013-04-17,2012-03-17,1610612745,Rockets,Derek Fisher,placed on IL,activated from IL,396 days,3
68,977,2013-12-08,2012-04-07,1610612747,Lakers,Kobe Bryant,bruised left shin (DNP),activated from IL,610 days,35
69,977,2014-12-28,2013-12-19,1610612747,Lakers,Kobe Bryant,fractured left tibia (out for season),returned to lineup,374 days,35
70,977,2015-01-07,2015-01-05,1610612747,Lakers,Kobe Bryant,rest (DTD),returned to lineup,2 days,35
71,977,2015-01-13,2015-01-09,1610612747,Lakers,Kobe Bryant,rest (DTD),returned to lineup,4 days,35
72,977,2015-01-21,2015-01-16,1610612747,Lakers,Kobe Bryant,rest (DTD),returned to lineup,5 days,35
73,977,2015-11-13,2015-01-22,1610612747,Lakers,Kobe Bryant,torn rotator cuff in right shoulder (out for season),activated from IL,295 days,35
74,977,2015-11-20,2015-11-16,1610612747,Lakers,Kobe Bryant,placed on IL for rest / back injury,activated from IL,4 days,35
75,977,2015-12-22,2015-12-19,1610612747,Lakers,Kobe Bryant,sore right shoulder (DTD),returned to lineup,3 days,35
76,977,2016-01-07,2016-01-01,1610612747,Lakers,Kobe Bryant,placed on IL with sore right shoulder,activated from IL,6 days,35
77,977,2016-01-12,2016-01-10,1610612747,Lakers,Kobe Bryant,strained right Achilles (DTD),returned to lineup,2 days,35
78,977,2016-01-28,2016-01-26,1610612747,Lakers,Kobe Bryant,placed on IL with sore shoulder,activated from IL,2 days,35
79,977,2016-01-31,2016-01-29,1610612747,Lakers,Kobe Bryant,placed on IL,activated from IL,2 days,35
80,977,2016-03-02,2016-02-26,1610612747,Lakers,Kobe Bryant,placed on IL with sore right shoulder,activated from IL,5 days,35
81,977,2016-03-06,2016-03-04,1610612747,Lakers,Kobe Bryant,placed on IL with sore right shoulder,activated from IL,2 days,35
82,977,2016-03-10,2016-03-08,1610612747,Lakers,Kobe Bryant,sore right shoulder (DTD),returned to lineup,2 days,35
