,PLAYER_ID,DateRecovered,DateInjured,TEAM_ID,Team,Player,InjuryNotes,RecoverNotes,NumberInjuries,InjuryLengthDays
0,255,2011-01-14,2011-01-11,1610612756,Suns,Grant Hill,placed on IL with sore/sprained right knee,activated from IL,20.0,3
1,255,2013-01-12,2012-01-13,1610612756,Suns,Grant Hill,strained right quadriceps (DNP),activated from IL,20.0,365
2,255,2013-04-27,2013-04-25,1610612746,Clippers,Grant Hill,placed on IL,activated from IL,20.0,2
3,406,2010-11-11,2010-11-02,1610612738,Celtics,Shaquille O'Neal,placed on IL with bruised right knee,activated from IL,17.0,9
4,406,2011-04-03,2010-12-09,1610612738,Celtics,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP),activated from IL,17.0,115
5,406,2011-05-07,2011-04-05,1610612738,Celtics,Shaquille O'Neal,placed on IL with strained right calf muscle,activated from IL,17.0,32
6,436,2010-11-02,2010-10-29,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,6.0,4
7,436,2010-11-13,2010-11-06,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,6.0,7
8,436,2013-03-24,2010-11-19,1610612748,Heat,Juwan Howard,broken nose (DNP),activated from IL,6.0,856
9,436,2013-03-29,2013-03-27,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,6.0,2
10,436,2013-06-01,2013-04-21,1610612748,Heat,Juwan Howard,placed on IL,activated from IL,6.0,41
11,467,2011-04-10,2011-04-06,1610612742,Mavericks,Jason Kidd,rest (DNP),activated from IL,15.0,4
12,467,2012-01-14,2012-01-07,1610612742,Mavericks,Jason Kidd,strained lower back (DNP),activated from IL,15.0,7
13,467,2012-02-10,2012-01-29,1610612742,Mavericks,Jason Kidd,placed on IL with strained right calf,activated from IL,15.0,12
14,467,2012-04-10,2012-03-10,1610612742,Mavericks,Jason Kidd,rest (DNP),activated from IL,15.0,31
15,467,2012-04-15,2012-04-13,1610612742,Mavericks,Jason Kidd,placed on IL for rest,activated from IL,15.0,2
16,467,2016-01-25,2012-04-21,1610612742,Mavericks,Jason Kidd,placed on IL for rest,returned as head coach,15.0,1374
17,686,2011-04-13,2011-03-28,1610612759,Spurs,Antonio McDyess,bruised lower back (DNP),activated from IL,2.0,16
18,689,2010-11-14,2010-11-11,1610612747,Lakers,Theo Ratliff,placed on IL with left knee tendinitis,activated from IL,3.0,3
19,689,2011-03-31,2010-11-16,1610612747,Lakers,Theo Ratliff,placed on IL recovering from arthroscopic surgery on left knee to remove part of torn meniscus,activated from IL,3.0,135
20,703,2010-12-04,2010-12-03,1610612741,Bulls,Kurt Thomas,placed on IL,activated from IL,5.0,1
21,703,2010-12-08,2010-12-06,1610612741,Bulls,Kurt Thomas,placed on IL,activated from IL,5.0,2
22,703,2010-12-18,2010-12-11,1610612741,Bulls,Kurt Thomas,placed on IL,activated from IL,5.0,7
23,708,2011-01-14,2010-12-31,1610612738,Celtics,Kevin Garnett,placed on IL with strained right calf,activated from IL,52.0,14
24,708,2013-04-07,2011-01-14,1610612738,Celtics,Kevin Garnett,strained right leg (DNP),activated from IL,52.0,814
25,708,2013-11-18,2013-04-12,1610612738,Celtics,Kevin Garnett,sore left ankle (DNP),activated from IL,52.0,220
26,708,2014-01-06,2013-11-29,1610612751,Nets,Kevin Garnett,rest (DNP),activated from IL,52.0,38
27,708,2014-04-05,2014-01-11,1610612751,Nets,Kevin Garnett,rest (DNP),activated from IL,52.0,84
